file,original_file,date,file_type,min_temp,max_temp,mean_temp,std_temp,valid_pixels,total_pixels,coverage,city
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-209_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024209.h25v06.061.2024222024646.hdf,2024-209,HDF,-19.409999999999968,39.51000000000005,22.87514792534957,7.313198283373412,487070,1440000,0.3382430555555555,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-201_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024201.h25v06.061.2024211133252.hdf,2024-201,HDF,-19.129999999999967,43.79000000000002,16.87304706052015,12.626431383818565,312045,1440000,0.2166979166666666,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-193_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024193.h25v06.061.2024202040932.hdf,2024-193,HDF,-20.769999999999985,43.170000000000016,19.027297655613843,10.360342407551537,349985,1440000,0.2430451388888889,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-185_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024185.h25v06.061.2024195061721.hdf,2024-185,HDF,-32.00999999999996,48.150000000000034,19.637672282228262,12.872236178649082,372833,1440000,0.2589118055555555,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-177_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024177.h25v06.061.2024186043903.hdf,2024-177,HDF,-13.189999999999998,49.57000000000005,24.50414308649646,12.828252983738752,426665,1440000,0.2962951388888888,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-169_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024169.h25v06.061.2024181131146.hdf,2024-169,HDF,-7.269999999999982,52.55000000000001,33.86415538844971,8.92784426132679,932476,1440000,0.6475527777777778,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-161_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024161.h25v06.061.2024175161308.hdf,2024-161,HDF,-14.16999999999996,61.57000000000005,36.30283602387605,6.974686715037144,1332383,1440000,0.9252659722222222,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-153_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024153.h25v06.061.2024162203550.hdf,2024-153,HDF,-9.369999999999948,61.09000000000003,34.44464671387291,8.352763286307496,1420152,1440000,0.9862166666666666,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-145_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024145.h25v06.061.2024157204032.hdf,2024-145,HDF,-10.629999999999995,53.63000000000005,35.45983645146026,8.452826362877476,1436760,1440000,0.99775,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-137_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024137.h25v06.061.2024148191546.hdf,2024-137,HDF,-11.309999999999944,67.49000000000001,33.70178361818816,8.27119344921656,1434298,1440000,0.9960402777777778,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-129_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024129.h25v06.061.2024142175531.hdf,2024-129,HDF,-12.92999999999995,57.81,33.332155300461324,9.488402187336778,1427272,1440000,0.9911611111111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-129_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024129.h25v06.061.2024154010952.hdf,2024-129,HDF,-12.92999999999995,57.81,33.390869775484695,9.398962587156198,1422620,1440000,0.9879305555555556,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-121_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024121.h25v06.061.2024132010847.hdf,2024-121,HDF,-16.029999999999973,55.75000000000006,36.6897889448005,9.651836705529943,1438581,1440000,0.9990145833333334,pune
